Airline_Code,SourceAirportCityCountry,DestinationAirportCityCountry
2B,"Sochi" "Russia","Kazan" "Russia"
2B,"Astrakhan" "Russia","Kazan" "Russia"
2B,"Astrakhan" "Russia","Mineralnye Vody" "Russia"
2B,"Chelyabinsk" "Russia","Kazan" "Russia"
2B,"Chelyabinsk" "Russia","Novosibirsk" "Russia"
2B,"Moscow" "Russia","Kazan" "Russia"
2B,"Moscow" "Russia","Nizhnekamsk" "Russia"
2B,"Moscow" "Russia",null null
2B,"Moscow" "Russia","Bugulma" "Russia"
2B,"Belgorod" "Russia","Kaliningrad" "Russia"
2B,"Belgorod" "Russia","Kazan" "Russia"
2B,"Baku" "Azerbaijan","Nizhnekamsk" "Russia"
2B,"Kaliningrad" "Russia","Belgorod" "Russia"
2B,"Kazan" "Russia","Sochi" "Russia"
2B,"Kazan" "Russia","Astrakhan" "Russia"
2B,"Kazan" "Russia","Chelyabinsk" "Russia"
2B,"Kazan" "Russia","Moscow" "Russia"
2B,"Kazan" "Russia","Belgorod" "Russia"
2B,"Kazan" "Russia","St. Petersburg" "Russia"
2B,"Kazan" "Russia","Yekaterinburg" "Russia"
2B,"St. Petersburg" "Russia","Kazan" "Russia"
2B,"St. Petersburg" "Russia","Nizhnekamsk" "Russia"
2B,"St. Petersburg" "Russia","Bugulma" "Russia"
2B,"Mineralnye Vody" "Russia","Astrakhan" "Russia"
2B,"Nizhnekamsk" "Russia","Moscow" "Russia"
2B,"Nizhnekamsk" "Russia","Baku" "Azerbaijan"
2B,"Nizhnekamsk" "Russia","St. Petersburg" "Russia"
2B,"Nizhnekamsk" "Russia","Yekaterinburg" "Russia"
2B,"Nizhnevartovsk" "Russia","Yekaterinburg" "Russia"
2B,"Nizhnevartovsk" "Russia","Bugulma" "Russia"
2B,"Novy Urengoy" "Russia","Yekaterinburg" "Russia"
2B,"Novosibirsk" "Russia","Chelyabinsk" "Russia"
2B,"Novosibirsk" "Russia","Yekaterinburg" "Russia"
2B,"Yekaterinburg" "Russia","Kazan" "Russia"
2B,"Yekaterinburg" "Russia","Nizhnekamsk" "Russia"
2B,"Yekaterinburg" "Russia","Nizhnevartovsk" "Russia"
2B,"Yekaterinburg" "Russia","Novy Urengoy" "Russia"
2B,"Yekaterinburg" "Russia","Novosibirsk" "Russia"
2B,null null,"Moscow" "Russia"
2B,"Bugulma" "Russia","Moscow" "Russia"
2B,"Bugulma" "Russia","St. Petersburg" "Russia"
2B,"Bugulma" "Russia","Nizhnevartovsk" "Russia"
2G,"Bratsk" "Russia","Irkutsk" "Russia"
2G,"Bratsk" "Russia","Novosibirsk" "Russia"
2G,"Chelyabinsk" "Russia","Novosibirsk" "Russia"
2G,"Chita" "Russia","Irkutsk" "Russia"
2G,"Irkutsk" "Russia","Bratsk" "Russia"
2G,"Irkutsk" "Russia","Chita" "Russia"
2G,"Irkutsk" "Russia",null null
2G,"Irkutsk" "Russia","Bodaibo" "Russia"
2G,"Irkutsk" "Russia","Novosibirsk" "Russia"
2G,"Irkutsk" "Russia","Ust-Kut" "Russia"
2G,"Irkutsk" "Russia","Lensk" "Russia"
2G,"Irkutsk" "Russia","Yakutsk" "Russia"
2G,null null,"Irkutsk" "Russia"
2G,"Mirnyj" "Russia","Novosibirsk" "Russia"
2G,"Bodaibo" "Russia","Irkutsk" "Russia"
2G,"Novosibirsk" "Russia","Bratsk" "Russia"
2G,"Novosibirsk" "Russia","Chelyabinsk" "Russia"
2G,"Novosibirsk" "Russia","Irkutsk" "Russia"
2G,"Ust-Kut" "Russia","Irkutsk" "Russia"
